Lab Name,Day Allotted,Hours Allotted,Subject Name,Class Name,Start Date,End Date,external
L7,Wednesday,"1,2,3",DBMS,S5 CSA,01-08-2024,31-12-2024,no
L7,Monday,"5,6,7",DBMS,S5 CSA,01-08-2024,31-12-2024,no
L3,Tuesday,"1,2,3",COMPILER,S7 CSA,01-08-2024,31-12-2024,no
L3,Thursday,"1,2,3",CG,S7 CSD,01-08-2024,31-12-2024,no
L6,Wednesday,"6,7",DSC,S3 MCAA,01-08-2024,31-12-2024,no
L6,Monday,"1,2",MAD,S3 MCAB,01-08-2024,31-12-2024,no
L1,Tuesday,"2,3,4",DS,S3 CSC,01-08-2024,31-12-2024,no
L3,Wednesday,"1,2,3",COMPILER,S7 CSB,01-08-2024,31-12-2024,no
L1,Wednesday,"5,6,7",DS,S3 CSA,01-08-2024,31-12-2024,no
L7,Tuesday,"5,6,7",DBMS,S5 CSC,01-08-2024,31-12-2024,no
L7,Friday,"2,3,4",DBMS,S5 CSC,01-08-2024,31-12-2024,no
PG LAB,Wednesday,"5,6,7",MICRO PROCESSOR,S5 CSB,01-08-2024,31-12-2024,no
L7,Tuesday,"1,2,3",WEB,S5 CSD,01-08-2024,31-12-2024,no
L7,Thursday,"5,6,7",WEB,S5 CSD,01-08-2024,31-12-2024,no
L3,Wednesday,"1,2,3",COMPILER,S7 CSB,01-08-2024,31-12-2024,no
L4,Tuesday,"6,7",PYTHON,S1 MCAB,01-08-2024,31-12-2024,no
L8,Tuesday,"1,2,3",VR,S5 CSD,01-08-2024,31-12-2024,no
L8,Thursday,"5,6,7",VR,S5 CSD,01-08-2024,31-12-2024,no
L3,Thursday,"1,2,3",CG,S7 CSD,01-08-2024,31-12-2024,no
L3,Tuesday,"1,2,3",COMPILER,S7 CSA,01-08-2024,31-12-2024,no
L1,Tuesday,"5,6,7",DS,S3 CSB,01-08-2024,31-12-2024,no
L1,Friday,"2,3,4",DS,S3 CSB,01-08-2024,31-12-2024,no
L8,Tuesday,"1,2,3",VR,S5 CSD,01-08-2024,31-12-2024,no
L8,Thursday,"5,6,7",VR,S5 CSD,01-08-2024,31-12-2024,no
L4,Thursday,"1,2",PYTHON,S1 MCAB,01-08-2024,31-12-2024,no
L7,Wednesday,"5,6,7",DBMS,S5 CSB,01-08-2024,31-12-2024,no
L2,Tuesday,"2,3,4",JAVA,S3 CSC,01-08-2024,31-12-2024,no
L4,Wednesday,"1,2",ADS,S1 MCAB,01-08-2024,31-12-2024,no
L4,Wednesday,"3,4",PYTHON,S1 MCAA,01-08-2024,31-12-2024,no
L2,Wednesday,"5,6,7",JAVA,S3 CSA,01-08-2024,31-12-2024,no
L6,Friday,"6,7",MAD,S3 MCAA,01-08-2024,31-12-2024,no
